t=2026-03-24T17:40:50-0300 lvl=info msg="no configuration paths supplied"
t=2026-03-24T17:40:50-0300 lvl=info msg="using configuration at default config path" path=C:\\Users\\Owner\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-03-24T17:40:50-0300 lvl=info msg="open config file" path=C:\\Users\\Owner\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-03-24T17:40:50-0300 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-03-24T17:40:50-0300 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-03-24T17:40:51-0300 lvl=info msg="client session established" obj=tunnels.session
t=2026-03-24T17:40:51-0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-03-24T17:40:51-0300 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://fatigued-unfaithfully-sparkle.ngrok-free.dev
t=2026-03-24T17:43:55-0300 lvl=info msg="join connections" obj=join id=460ec64bc4c8 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:55-0300 lvl=info msg="join connections" obj=join id=8420f53c3740 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:55-0300 lvl=info msg="join connections" obj=join id=405039cfeeab l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:55-0300 lvl=info msg="join connections" obj=join id=70de23af6473 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:55-0300 lvl=info msg="join connections" obj=join id=de35e122316d l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:55-0300 lvl=info msg="join connections" obj=join id=792eb334f2cb l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:55-0300 lvl=info msg="join connections" obj=join id=fc7726922dc3 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=f65191976167 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=e3093f1202a8 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=2614d1206ebd l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=383467b68a2d l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=bfc53d3d8ca7 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=3a8dbd7169b3 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=67fdd044fa76 l=127.0.0.1:3000 r=181.46.138.67:2911
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=e4922482ff5c l=127.0.0.1:3000 r=181.46.138.67:2911
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=c22c30284b90 l=127.0.0.1:3000 r=181.46.138.67:2911
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=90e2213b973c l=127.0.0.1:3000 r=181.46.138.67:2911
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=a9507233579e l=127.0.0.1:3000 r=181.46.138.67:2911
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=1dd8948708f2 l=127.0.0.1:3000 r=181.46.138.67:2911
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=8ea1ea3c5f4d l=127.0.0.1:3000 r=181.46.138.67:2911
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=3017468af8a8 l=127.0.0.1:3000 r=181.46.138.67:2911
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=9ce376239dac l=127.0.0.1:3000 r=181.46.138.67:2911
t=2026-03-24T17:43:56-0300 lvl=info msg="join connections" obj=join id=626943aa25b8 l=127.0.0.1:3000 r=181.46.138.67:2838
